ano,regiao,VM,FG,FL,Total
2018,Guarda,23,41,2158,2222
2018,Leiria,48,144,9494,9686
2018,Lisboa,88,260,373,721
2018,Portalegre,12,59,7208,7279
2018,Porto,79,181,1780,2040
2018,Santarem,52,195,3158,3405
2018,Setubal,74,156,3148,3378
2018,V.Castelo,15,45,1051,1111
2018,V.real,28,58,372,458
2018,Viseu,27,93,1536,1656
2019,Aveiro,42,135,3362,3539
2019,Beja,37,68,566,671
2019,Braga,45,153,3988,4186
2019,bracanca,8,48,488,544
2019,C.Branco,14,66,628,708
2019,Coimbra,40,79,1952,2071
2019,Evora,17,71,545,633
2019,Faro,44,214,2449,2707
2019,Guarda,19,58,509,586
2019,Leiria,45,123,2132,2300
2019,Lisboa,76,337,9820,10233
2019,Portalegre,17,52,365,434
2019,Porto,79,205,7738,8022
2019,Santarem,41,211,1956,2208
2019,Setubal,32,159,3183,3374
2019,V.Castelo,18,53,1038,1109
2019,V.real,14,46,863,923
2019,Viseu,38,90,1064,1192
2020,Aveiro,21,80,1 808,1909
2020,Beja,14,43,273,330
2020,Braga,20,84,2 014,2118
2020,bracanca,3,24,200,227
2020,C.Branco,11,58,340,409
2020,Coimbra,18,57,1 029,1104
2020,Evora,10,29,265,304
2020,Faro,20,111,1 200,1331
2020,Guarda,10,32,261,303
2020,Leiria,22,62,1 082,1166
2020,Lisboa,46,147,4 319,4512
2020,Portalegre,9,25,173,207
2020,Porto,35,104,3 731,3870
2020,Santarem,35,106,959,1100
2020,Setubal,31,87,1 534,1652
2020,V.Castelo,15,37,530,582
2020,V.real,8,23,437,468
2020,Viseu,16,55,859,930
